formula,band_gap,MagpieData range Electronegativity,MagpieData mean CovalentRadius
AlN,4.0536,1.43,96.0
AlP,1.6292999999999995,0.5799999999999998,114.0
AlSb,1.2262000000000004,0.4399999999999997,130.0
AlAs,1.5007,0.5700000000000001,120.0
GaAs,0.1839000000000004,0.3700000000000001,120.5
InP,0.4664000000000001,0.4099999999999999,124.5
GaP,1.5917000000000003,0.3799999999999999,114.5
GaN,1.7375999999999996,1.23,96.5
ZnS,2.0206,0.9300000000000002,113.5
CdS,1.1162,0.8900000000000001,124.5
CdTe,0.5867,0.41000000000000014,141.0
CdSe,0.5589,0.8599999999999999,132.0
ZnSe2,0.7291999999999996,0.8999999999999999,120.66666666666667
ZnTe,1.0782000000000005,0.4500000000000002,130.0
ZnSe,1.1687,0.8999999999999999,121.0
CdSe2,0.6141999999999999,0.8599999999999999,128.0
AlGaAs2,0.7004999999999999,0.5700000000000001,120.25
Al3GaN4,3.4073,1.43,96.125
AlGa3N4,2.2393,1.43,96.375
AlGaP2,1.6344000000000003,0.5799999999999998,114.25
ZnCdTe2,0.7719,0.4500000000000002,135.5
AlGaSb2,0.1727000000000007,0.4399999999999997,130.25
Al2GaN3,3.1754,1.43,96.16666666666667
Al2InN3,2.7788999999999997,1.43,99.5
AlGaN2,2.7200000000000006,1.43,96.25
AlInSb2,0.3185000000000002,0.4399999999999997,135.25
ZnCd3Se4,0.6264000000000001,0.8999999999999999,129.25
Al4GaSb5,0.9868369420450565,0.4399999999999997,130.1
Zn4CdSe5,0.9516,0.8999999999999999,123.2
Zn3CdSe4,0.9315,0.8999999999999999,123.75
ZnCdSe2,0.7236000000000001,0.8999999999999999,126.5
InGa2N3,0.9052000000000008,1.26,99.83333333333333
ZnCd3S4,1.2163999999999997,0.9300000000000002,121.75
AlIn2N3,0.8864999999999998,1.43,103.0
InGaAs2,1.2801,0.40000000000000013,125.5
AlInN2,1.5194,1.43,101.25
Zn3CdS4,1.6798,0.9300000000000002,116.25
ZnCdS2,1.3685999999999998,0.9300000000000002,119.0
In3GaN4,0.0805903516528223,1.26,104.0
Zn4CdS5,1.5458,0.9300000000000002,115.7
InGaP2,0.5607000000000006,0.4099999999999999,119.5
InGa4Sb5,0.017617462707991,0.2699999999999998,132.5
